Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10uF,
"C2, C5, C6, C7",0603,4,100nF,
"C3, C4",WCAP-ATG8,2,100uF/25V,
D1,D_SOD-323F,1,BAT54J,
"D2, D3",D_SOD-523,2,1N4148WT,
IC1,nucleo32,1,nucleo32-L432,
IC2,nRF24L01_SMD_MODULE,1,nRF24L01_SMD_MODULE,
IC3,MPU9250_SMD_MODULE,1,MPU9250_SMD_MODULE,
IC4,SOIC127P600X175-8N,1,M24C16-FMN6TP,
IC5,SOT127P600X175-8N,1,SN65HVD230DR,
IC6,SOT95P237X112-3N,1,TLV76050DBZR,
"R1, R10, R2, R3, R4, R9",0402,6,R,
"R5, R6",0603,2,4k7,
R7,0603,1,0R,
R8,0603,1,120R,
"X1, X2, X3, X5",H2_100mil,4,~,
"X4, X6",H4_50mil,2,~,
